stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
air-pollutant-emissions-data-view,9999.0,33,0,0.009036144578313253,0.0,air-pollutant-emissions-data-viewer
rzecznika,9999.0,33,0,0.009036144578313253,0.0,rzecznika
reach-en-forc,9999.0,33,0,0.009036144578313253,0.0,reach-en-force
mid-century,9999.0,33,0,0.009036144578313253,0.0,mid-century
re-meand,9999.0,33,0,0.009036144578313253,0.0,re-meandering
water-pr,9999.0,33,0,0.009036144578313253,0.0,water-pricing
rucksack,9999.0,33,0,0.009036144578313253,0.0,"rucksack, rucksacks"
substance-specif,9999.0,33,0,0.009036144578313253,0.0,substance-specific
sulphonitr,9999.0,33,0,0.009036144578313253,0.0,"sulphonitrate, sulphonitric"
obywatelskich,9999.0,33,0,0.009036144578313253,0.0,obywatelskich
teisingumo,9999.0,33,0,0.009036144578313253,0.0,teisingumo
anti-monopoly,9999.0,33,0,0.009036144578313253,0.0,anti-monopoly
montanarella,9999.0,32,0,0.008762322015334063,0.0,montanarella
ground-wat,9999.0,32,0,0.008762322015334063,0.0,"ground-water, ground-waters"
subsea,9999.0,32,0,0.008762322015334063,0.0,subsea
respa,9999.0,32,0,0.008762322015334063,0.0,respa
borrelli,9999.0,32,0,0.008762322015334063,0.0,borrelli
crinkl,9999.0,32,0,0.008762322015334063,0.0,crinkled
photocathod,9999.0,32,0,0.008762322015334063,0.0,"photocathode, photocathodes"
tilapia,9999.0,32,0,0.008762322015334063,0.0,"tilapia, tilapias"
nama_10_gdp,9999.0,32,0,0.008762322015334063,0.0,nama_10_gdp
cargo-shar,9999.0,32,0,0.008762322015334063,0.0,cargo-sharing
icpdr,9999.0,32,0,0.008762322015334063,0.0,icpdr
unground,9999.0,32,0,0.008762322015334063,0.0,"unground, ungrounded"
hydro-morpholog,9999.0,32,0,0.008762322015334063,0.0,hydro-morphological
ktoe,9999.0,32,0,0.008762322015334063,0.0,ktoe
one-out-all-out,9999.0,32,0,0.008762322015334063,0.0,one-out-all-out
nature-and-biodiversity,9999.0,32,0,0.008762322015334063,0.0,nature-and-biodiversity
alum,9999.0,32,0,0.008762322015334063,0.0,"alum, alums"
stripe-belli,9999.0,32,0,0.008762322015334063,0.0,stripe-bellied
psychotherapist,9999.0,32,0,0.008762322015334063,0.0,psychotherapists
v-joint,9999.0,32,0,0.008762322015334063,0.0,v-jointed
wallcov,9999.0,32,0,0.008762322015334063,0.0,wallcoverings
thromboxan,9999.0,32,0,0.008762322015334063,0.0,thromboxanes
semi-cok,9999.0,32,0,0.008762322015334063,0.0,"semi-coke, semi-cokes"
collegium,9999.0,32,0,0.008762322015334063,0.0,"collegium, collegiums"
spiegeleisen,9999.0,32,0,0.008762322015334063,0.0,spiegeleisen
kieselguhr,9999.0,32,0,0.008762322015334063,0.0,kieselguhr
camphor,9999.0,32,0,0.008762322015334063,0.0,camphor
framleiðsluvara,9999.0,32,0,0.008762322015334063,0.0,framleiðsluvara
technical-support-instru,9999.0,32,0,0.008762322015334063,0.0,technical-support-instrument
rban,9999.0,32,0,0.008762322015334063,0.0,rban
cable-drum,9999.0,32,0,0.008762322015334063,0.0,cable-drums
env_wasmun,9999.0,32,0,0.008762322015334063,0.0,env_wasmun
caulk,9999.0,32,0,0.008762322015334063,0.0,"caulk, caulked, caulking"
xlv,9999.0,32,0,0.008762322015334063,0.0,xlv
subterranea,9999.0,31,0,0.008488499452354874,0.0,subterranea
obrany,9999.0,31,0,0.008488499452354874,0.0,obrany
rtb,9999.0,31,0,0.008488499452354874,0.0,rtb
siluru,9999.0,31,0,0.008488499452354874,0.0,silurus
public-particip,9999.0,31,0,0.008488499452354874,0.0,public-participation
environment-policy,9999.0,31,0,0.008488499452354874,0.0,environment-policy
esvac,9999.0,31,0,0.008488499452354874,0.0,esvac
chloroalkan,9999.0,31,0,0.008488499452354874,0.0,"chloroalkane, chloroalkanes"
phosphoaminolipid,9999.0,31,0,0.008488499452354874,0.0,phosphoaminolipids
marquetry,9999.0,31,0,0.008488499452354874,0.0,marquetry
bambara,9999.0,31,0,0.008488499452354874,0.0,bambara
diazo,9999.0,31,0,0.008488499452354874,0.0,diazo
patriarch,9999.0,31,0,0.008488499452354874,0.0,"patriarch, patriarchal, patriarchate, patriarchates"
inlaid,9999.0,31,0,0.008488499452354874,0.0,inlaid
tetraethyl,9999.0,31,0,0.008488499452354874,0.0,tetraethyl
hydro-pow,9999.0,31,0,0.008488499452354874,0.0,"hydro-power, hydro-powers"
publicwebsit,9999.0,31,0,0.008488499452354874,0.0,publicwebsite
cemetery,9999.0,31,0,0.008488499452354874,0.0,cemetery
list-rul,9999.0,31,0,0.008488499452354874,0.0,list-rule
niloticu,9999.0,31,0,0.008488499452354874,0.0,niloticus
inund,9999.0,31,0,0.008488499452354874,0.0,"inundation, inundations"
factic,9999.0,31,0,0.008488499452354874,0.0,factice
pcu,9999.0,31,0,0.008488499452354874,0.0,"pcu, pcus"
voandzeia,9999.0,31,0,0.008488499452354874,0.0,voandzeia
lxix,9999.0,31,0,0.008488499452354874,0.0,lxix
unimpl,9999.0,31,0,0.008488499452354874,0.0,unimplemented
eepr,9999.0,31,0,0.008488499452354874,0.0,eepr
dry-clean,9999.0,31,0,0.008488499452354874,0.0,"dry-cleaner, dry-cleaning"
imine-funct,9999.0,31,0,0.008488499452354874,0.0,imine-function
syenit,9999.0,31,0,0.008488499452354874,0.0,syenite
casket,9999.0,31,0,0.008488499452354874,0.0,caskets
rainforest,9999.0,31,0,0.008488499452354874,0.0,"rainforest, rainforests"
rganic,9999.0,31,0,0.008488499452354874,0.0,rganic
hri,9999.0,31,0,0.008488499452354874,0.0,"hri, hris"
ruec,9999.0,30,0,0.008214676889375685,0.0,"ruec, ruecs"
mbuluara,9999.0,30,0,0.008214676889375685,0.0,mbuluara
lxxiv,9999.0,30,0,0.008214676889375685,0.0,lxxiv
electrify,9999.0,30,0,0.008214676889375685,0.0,"electrify, electrifying"
pyrit,9999.0,30,0,0.008214676889375685,0.0,"pyrite, pyrites, pyritical"
spatial-data,9999.0,30,0,0.008214676889375685,0.0,spatial-data
thermoform,9999.0,30,0,0.008214676889375685,0.0,"thermoformed, thermoforming"
anthraquinon,9999.0,30,0,0.008214676889375685,0.0,anthraquinone
gion,9999.0,30,0,0.008214676889375685,0.0,"gion, gions"
discomap,9999.0,30,0,0.008214676889375685,0.0,discomap
headwat,9999.0,30,0,0.008214676889375685,0.0,"headwater, headwaters"
law-and-govern,9999.0,30,0,0.008214676889375685,0.0,law-and-governance
