stem,source,precision,recall,lift,original_words
car,seed,0.75,0.13043478260869565,,"car, cars"
verifi,seed,0.75,0.13043478260869565,,"verifiable, verified"
infring,seed,0.75,0.13043478260869565,,"infringe, infringement, infringements, infringing"
ban,seed,0.75,0.13043478260869565,,"ban, bans"
sav,seed,0.75,0.13043478260869565,,"saving, savings"
semest,seed,0.75,0.13043478260869565,,semester
entity,seed,0.75,0.13043478260869565,,entity
viability,seed,0.75,0.13043478260869565,,viability
iter,seed,0.75,0.13043478260869565,,"iter, iteration, iterations, iterative"
visa,seed,0.75,0.13043478260869565,,"visa, visas"
huge,seed,0.75,0.13043478260869565,,huge
inconsist,seed,0.75,0.13043478260869565,,"inconsistencies, inconsistent"
heavy,seed,0.75,0.13043478260869565,,heavy
conceiv,seed,0.75,0.13043478260869565,,conceived
elaborat,seed,0.75,0.13043478260869565,,"elaborated, elaborating"
quarter,seed,0.75,0.13043478260869565,,"quarter, quarters"
client,seed,0.75,0.13043478260869565,,"client, clients"
prolifer,seed,0.75,0.13043478260869565,,proliferation
recruit,seed,0.75,0.13043478260869565,,"recruit, recruitment"
amongst,seed,0.75,0.13043478260869565,,amongst
suffer,seed,0.75,0.13043478260869565,,"suffer, suffering, suffers"
privileg,seed,0.75,0.13043478260869565,,"privilege, privileged"
util,seed,0.75,0.13043478260869565,,"utilities, utilization"
restor,seed,0.75,0.13043478260869565,,"restoration, restore, restoring"
monetary,seed,0.75,0.13043478260869565,,monetary
distanc,seed,0.75,0.13043478260869565,,"distance, distances"
explicitly,seed,0.75,0.13043478260869565,,explicitly
socially,seed,0.75,0.13043478260869565,,socially
sixth,seed,0.75,0.13043478260869565,,sixth
wild,seed,0.75,0.13043478260869565,,wild
defenc,seed,0.75,0.13043478260869565,,defence
environ,seed,0.7407407407407407,0.8695652173913043,,"environment, environments"
health,seed,0.7368421052631579,0.6086956521739131,,health
infrastructur,seed,0.7333333333333333,0.4782608695652174,,"infrastructural, infrastructure, infrastructures"
fit,seed,0.7272727272727273,0.34782608695652173,,"fit, fitness"
streamlin,seed,0.7272727272727273,0.34782608695652173,,"streamline, streamlined, streamlining"
advantag,seed,0.7272727272727273,0.34782608695652173,,"advantage, advantages"
responsibility,seed,0.7142857142857143,0.43478260869565216,,responsibility
alia,seed,0.7142857142857143,0.43478260869565216,,alia
treati,seed,0.7142857142857143,0.21739130434782608,,treaties
pan-european,seed,0.7142857142857143,0.21739130434782608,,pan-european
solv,seed,0.7142857142857143,0.21739130434782608,,"solve, solved, solves, solving"
director,seed,0.7142857142857143,0.21739130434782608,,"directorate, directors"
urgent,seed,0.7142857142857143,0.21739130434782608,,urgent
engin,seed,0.7142857142857143,0.21739130434782608,,"engine, engineered, engineering, engineers, engines"
reliability,seed,0.7142857142857143,0.21739130434782608,,reliability
illeg,seed,0.7142857142857143,0.21739130434782608,,illegal
desir,seed,0.7142857142857143,0.21739130434782608,,"desirable, desire, desired, desiring, desirous"
conserv,seed,0.7142857142857143,0.21739130434782608,,"conservation, conserve, conserving"
lisbon,seed,0.7142857142857143,0.21739130434782608,,lisbon
dynam,seed,0.7142857142857143,0.21739130434782608,,"dynamic, dynamics"
ecosystem,seed,0.7142857142857143,0.21739130434782608,,"ecosystem, ecosystems"
liv,seed,0.7142857142857143,0.21739130434782608,,"lived, living"
mandatory,seed,0.7142857142857143,0.21739130434782608,,mandatory
mitig,seed,0.7142857142857143,0.21739130434782608,,"mitigate, mitigation"
pillar,seed,0.7142857142857143,0.21739130434782608,,pillars
deep,seed,0.7142857142857143,0.21739130434782608,,deep
get,seed,0.7142857142857143,0.21739130434782608,,"get, gets"
leader,seed,0.7142857142857143,0.21739130434782608,,"leader, leaders"
neighbourhood,seed,0.7142857142857143,0.21739130434782608,,neighbourhood
nuclear,seed,0.7142857142857143,0.21739130434782608,,nuclear
thorough,seed,0.7142857142857143,0.21739130434782608,,thorough
foster,seed,0.7058823529411765,0.5217391304347826,,"foster, fostered, fostering, fosters"
sea,seed,0.7,0.30434782608695654,,"sea, seas"
actively,seed,0.7,0.30434782608695654,,actively
incent,seed,0.7,0.30434782608695654,,"incentive, incentives"
approximately,seed,0.7,0.30434782608695654,,approximately
align,seed,0.7,0.30434782608695654,,"align, aligned, aligning, alignment, aligns"
channel,seed,0.7,0.30434782608695654,,"channel, channelled, channelling, channels"
job,seed,0.7,0.30434782608695654,,"job, jobs"
swd,seed,0.7,0.30434782608695654,,swd
dedicat,seed,0.7,0.30434782608695654,,dedicated
consolid,seed,0.7,0.30434782608695654,,"consolidate, consolidates, consolidation"
chain,seed,0.7,0.30434782608695654,,"chain, chains"
leverag,seed,0.7,0.30434782608695654,,"leverage, leveraging"
candid,seed,0.7,0.30434782608695654,,"candidate, candidates"
sustain,seed,0.6923076923076923,0.782608695652174,,"sustainable, sustained"
exploit,seed,0.6923076923076923,0.391304347826087,,"exploit, exploitation, exploited, exploiting, exploits"
sett,seed,0.6818181818181818,0.6521739130434783,,setting
kei,seed,0.6666666666666666,0.782608695652174,,"key, keyed, keys"
plai,seed,0.6666666666666666,0.6086956521739131,,"play, played, playing, plays"
busi,seed,0.6666666666666666,0.5217391304347826,,"business, businesses"
mak,seed,0.6666666666666666,0.5217391304347826,,making
crucial,seed,0.6666666666666666,0.43478260869565216,,crucial
transfer,seed,0.6666666666666666,0.43478260869565216,,"transfer, transferable, transfers"
technolog,seed,0.6666666666666666,0.43478260869565216,,technological
