stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words
capitalist,9999.0,47,0,0.00990725126475548,0.0,"capitalist, capitalists"
renaturalis,9999.0,47,0,0.00990725126475548,0.0,"renaturalisation, renaturalise, renaturalising"
under-invest,9999.0,47,0,0.00990725126475548,0.0,"under-invest, under-invested, under-investing, under-investment, under-investments"
amikacin,9999.0,47,0,0.00990725126475548,0.0,amikacin
fly-pap,9999.0,47,0,0.00990725126475548,0.0,fly-papers
neet,9999.0,47,0,0.00990725126475548,0.0,"neet, neets"
double-digit,9999.0,47,0,0.00990725126475548,0.0,"double-digit, double-digits"
spittoon,9999.0,47,0,0.00990725126475548,0.0,"spittoon, spittoons"
racket,9999.0,47,0,0.00990725126475548,0.0,"racket, racketeering, rackets"
eubam,9999.0,46,0,0.0096964586846543,0.0,eubam
unfil,9999.0,46,0,0.0096964586846543,0.0,unfilled
misinform,9999.0,46,0,0.0096964586846543,0.0,"misinform, misinformation, misinformed"
up-skil,9999.0,46,0,0.0096964586846543,0.0,"up-skill, up-skilled, up-skilling, up-skills"
unfavourable-bad,9999.0,46,0,0.0096964586846543,0.0,unfavourable-bad
ionic-beam,9999.0,46,0,0.0096964586846543,0.0,ionic-beam
luminophor,9999.0,46,0,0.0096964586846543,0.0,luminophores
udget,9999.0,46,0,0.0096964586846543,0.0,"udget, udgeting"
ticket-issu,9999.0,46,0,0.0096964586846543,0.0,ticket-issuing
macroalga,9999.0,46,0,0.0096964586846543,0.0,macroalgae
child-friendly,9999.0,46,0,0.0096964586846543,0.0,child-friendly
ras,9999.0,46,0,0.0096964586846543,0.0,rasing
mitrovica,9999.0,46,0,0.0096964586846543,0.0,mitrovica
policy-relev,9999.0,46,0,0.0096964586846543,0.0,"policy-relevance, policy-relevant"
phytobentho,9999.0,45,0,0.00948566610455312,0.0,phytobenthos
eurocod,9999.0,45,0,0.00948566610455312,0.0,"eurocode, eurocodes"
marijuana,9999.0,45,0,0.00948566610455312,0.0,marijuana
ballabio,9999.0,45,0,0.00948566610455312,0.0,ballabio
data-record,9999.0,45,0,0.00948566610455312,0.0,data-recording
unwind,9999.0,45,0,0.00948566610455312,0.0,"unwind, unwinding"
audite,9999.0,45,0,0.00948566610455312,0.0,"auditee, auditees"
lviii,9999.0,45,0,0.00948566610455312,0.0,lviii
piledriv,9999.0,45,0,0.00948566610455312,0.0,piledrivers
on-lend,9999.0,45,0,0.00948566610455312,0.0,"on-lend, on-lending, on-lends"
disinvest,9999.0,45,0,0.00948566610455312,0.0,"disinvest, disinvested, disinvesting, disinvestment, disinvestments"
editor-in-chief,9999.0,45,0,0.00948566610455312,0.0,editor-in-chief
onnect,9999.0,44,0,0.00927487352445194,0.0,"onnect, onnected, onnecting, onnection, onnections"
abkhazia,9999.0,44,0,0.00927487352445194,0.0,abkhazia
same-sex,9999.0,44,0,0.00927487352445194,0.0,same-sex
first-mov,9999.0,44,0,0.00927487352445194,0.0,"first-mover, first-movers"
over-abstract,9999.0,44,0,0.00927487352445194,0.0,"over-abstraction, over-abstractions"
piezo-ignit,9999.0,44,0,0.00927487352445194,0.0,piezo-igniter
manifesto,9999.0,44,0,0.00927487352445194,0.0,manifesto
pan-african,9999.0,44,0,0.00927487352445194,0.0,pan-african
post-pandem,9999.0,44,0,0.00927487352445194,0.0,post-pandemic
kurdish,9999.0,44,0,0.00927487352445194,0.0,kurdish
pre-university,9999.0,43,0,0.00906408094435076,0.0,pre-university
re-naturalis,9999.0,43,0,0.00906408094435076,0.0,"re-naturalisation, re-naturalise, re-naturalised"
jewish,9999.0,43,0,0.00906408094435076,0.0,jewish
osb,9999.0,43,0,0.00906408094435076,0.0,osb
atrazin,9999.0,43,0,0.00906408094435076,0.0,"atrazin, atrazine"
bribe,9999.0,43,0,0.00906408094435076,0.0,"bribe, bribee, bribes"
nagorno-karabakh,9999.0,43,0,0.00906408094435076,0.0,nagorno-karabakh
ashkali,9999.0,43,0,0.00906408094435076,0.0,"ashkali, ashkalis"
ossetia,9999.0,43,0,0.00906408094435076,0.0,ossetia
semii-standard,9999.0,43,0,0.00906408094435076,0.0,semii-standards
self-report,9999.0,42,0,0.00885328836424958,0.0,"self-report, self-reported, self-reporters, self-reporting, self-reports"
